City,Historical_Date,Historical_Year,Historical_Month,Historical_Day,longitude,latitude,wind_direction_10m_dominant,precipitation_hours,precipitation_sum,apparent_temperature_max,daylight_duration,wind_gusts_10m_max,snowfall_sum,uv_index_clear_sky_max,sunset,temperature_2m_min,et0_fao_evapotranspiration,wind_speed_10m_max,showers_sum,uv_index_max,sunrise,temperature_2m_max,shortwave_radiation_sum,precipitation_probability_max,rain_sum,sunshine_duration,apparent_temperature_min,weather_code
Buenos Aires,2022-01-01,2022,01,Sat,-58.4440583,-34.6083696,6.70975,9.0,5.7,28.779083,51919.27,47.16,0.0,,0,22.2915,3.9302497,25.233406,0.0,,0,27.241499,12.8,,5.7,13361.887,24.228697,63.0
Buenos Aires,2022-01-02,2022,01,Sun,-58.4440583,-34.6083696,36.193325,0.0,0.0,34.146885,51883.45,38.16,0.0,,0,20.5415,6.157472,19.61587,0.0,,0,29.5915,30.57,,0.0,48623.5,23.718649,3.0
Buenos Aires,2022-01-03,2022,01,Mon,-58.4440583,-34.6083696,41.643036,0.0,0.0,36.504097,51844.527,37.44,0.0,,0,22.0415,6.6584578,23.400002,0.0,,0,31.2915,30.27,,0.0,48587.625,25.129112,3.0
Buenos Aires,2022-01-04,2022,01,Tue,-58.4440583,-34.6083696,171.41644,4.0,11.400001,31.220715,51802.09,60.120003,0.0,,0,20.9415,6.503694,36.551968,0.0,,0,32.391502,18.4,,11.400001,26059.668,17.100136,65.0
Buenos Aires,2022-01-05,2022,01,Wed,-58.4440583,-34.6083696,124.46088,0.0,0.0,27.23554,51756.207,56.519997,0.0,,0,16.0915,7.363114,32.76198,0.0,,0,26.1415,31.94,,0.0,48506.555,12.631165,2.0
Buenos Aires,2022-01-06,2022,01,Thu,-58.4440583,-34.6083696,78.897964,0.0,0.0,26.633982,51706.992,46.079998,0.0,,0,19.241499,7.086465,28.551426,0.0,,0,25.3415,32.55,,0.0,48461.33,17.456198,2.0
Buenos Aires,2022-01-07,2022,01,Fri,-58.4440583,-34.6083696,75.85299,0.0,0.0,28.13686,51654.555,44.28,0.0,,0,21.0415,6.490541,27.153164,0.0,,0,26.6915,27.81,,0.0,38199.555,20.351637,3.0
Buenos Aires,2022-01-08,2022,01,Sat,-58.4440583,-34.6083696,74.33631,0.0,0.0,28.54235,51599.01,46.079998,0.0,,0,22.4415,7.4818916,28.66468,0.0,,0,28.3415,32.0,,0.0,48361.99,21.415468,3.0
Buenos Aires,2022-01-09,2022,01,Sun,-58.4440583,-34.6083696,67.97361,0.0,0.0,30.875828,51540.49,46.079998,0.0,,0,21.5415,7.7256637,28.856194,0.0,,0,28.991499,32.27,,0.0,48308.08,20.499826,3.0
Buenos Aires,2022-01-10,2022,01,Mon,-58.4440583,-34.6083696,54.47909,0.0,0.0,34.51391,51479.086,33.48,0.0,,0,23.0915,7.5623555,17.902534,0.0,,0,31.8415,31.9,,0.0,48251.477,23.926144,2.0
Buenos Aires,2022-01-11,2022,01,Tue,-58.4440583,-34.6083696,7.317787,0.0,0.0,39.985718,51414.918,67.32,0.0,,0,24.8415,8.24646,32.47591,0.0,,0,37.5415,30.77,,0.0,48192.277,22.308937,2.0
Buenos Aires,2022-01-12,2022,01,Wed,-58.4440583,-34.6083696,109.42671,0.0,0.0,30.25058,51348.11,55.8,0.0,,0,21.741499,7.9654155,30.10685,0.0,,0,29.0415,31.82,,0.0,48130.57,20.677402,3.0
